永鼎股份,600105,4.9,3.8,4.9,5.7,5.5,5.4
重庆路桥,600106,5.5,5.5,5.1,5.8,6.5,5.1
美尔雅,600107,5.1,6.1,1.9,5.5,6.8,5.7
亚盛集团,600108,4.3,3.2,2.1,6.2,5.0,5.9
国金证券,600109,5.7,7.3,3.1,5.9,7.7,4.9
诺德股份,600110,4.8,5.0,1.9,5.5,7.0,5.6
北方稀土,600111,4.3,3.4,1.4,5.8,6.0,6.2
ST天成,600112,5.5,6.9,3.3,4.9,6.5,5.4
浙江东日,600113,5.9,5.6,5.5,6.8,5.8,6.1
东睦股份,600114,5.3,4.1,5.2,5.6,6.0,6.2
东方航空,600115,6.1,7.8,3.5,5.5,7.4,6.0
三峡水利,600116,4.6,4.4,3.0,5.8,6.7,4.4
西宁特钢,600117,5.6,6.1,4.6,5.5,5.5,5.8
中国卫星,600118,5.2,5.2,2.6,5.8,6.7,6.5
*ST长投,600119,5.3,6.6,3.3,5.2,6.8,5.0
浙江东方,600120,5.5,5.4,3.9,5.8,7.2,6.2
郑州煤电,600121,5.4,5.2,5.2,5.2,6.7,5.2
宏图高科,600122,4.0,4.4,2.1,4.1,6.8,3.8
兰花科创,600123,5.6,6.2,2.8,5.7,6.7,6.6
铁龙物流,600125,4.8,5.1,2.3,5.9,6.5,4.9
杭钢股份,600126,5.8,6.0,6.7,5.7,5.5,5.2
金健米业,600127,4.2,2.7,2.1,6.9,5.8,5.6
弘业股份,600128,4.3,3.9,1.7,5.5,6.9,5.0
太极集团,600129,5.7,5.0,4.7,5.7,7.0,7.0
波导股份,600130,4.4,5.0,2.8,4.7,5.5,4.4
岷江水电,600131,5.3,5.1,3.8,6.2,6.7,5.7
重庆啤酒,600132,6.6,8.1,3.6,5.6,8.0,7.4
东湖高新,600133,6.3,7.8,5.7,5.7,5.3,5.7
乐凯胶片,600135,4.5,4.6,1.7,5.9,6.6,5.1
当代明诚,600136,6.1,5.5,6.5,5.5,6.8,6.5
浪莎股份,600137,5.8,7.0,4.4,5.8,6.8,5.2
中青旅,600138,5.4,4.9,3.1,5.7,7.0,7.1
西部资源,600139,5.2,5.8,3.6,6.0,6.2,4.9
兴发集团,600141,5.1,4.7,3.0,5.5,6.5,6.4
金发科技,600143,5.2,6.0,1.8,4.2,6.7,6.8
*ST新亿,600145,5.9,7.8,3.5,5.5,6.9,5.5
商赢环球,600146,6.0,8.2,4.0,5.3,6.8,4.9
长春一东,600148,5.3,5.8,2.8,5.5,6.5,6.0
ST坊展,600149,5.7,7.2,3.5,5.5,6.2,5.6
中国船舶,600150,6.7,9.0,3.3,6.2,6.7,6.9
航天机电,600151,4.8,5.0,1.6,5.5,5.5,6.5
维科技术,600152,5.2,5.0,3.6,5.4,7.0,5.8
建发股份,600153,6.0,7.3,3.2,6.3,6.8,6.1
华创阳安,600155,4.3,2.8,3.5,5.5,7.7,4.5
华升股份,600156,5.1,6.7,1.8,5.5,6.5,5.2
永泰能源,600157,5.2,5.6,1.8,5.5,6.7,6.5
中体产业,600158,5.0,4.6,4.5,6.6,5.3,4.7
大龙地产,600159,5.9,6.5,5.3,5.8,6.3,5.4
巨化股份,600160,5.1,4.9,2.6,5.6,6.5,6.4
天坛生物,600161,7.0,8.4,6.1,5.9,7.0,6.7
香江控股,600162,6.2,7.2,6.3,5.6,6.3,5.2
中闽能源,600163,5.5,5.0,4.7,5.6,6.7,6.0
新日恒力,600165,4.6,4.8,2.7,5.5,6.5,4.4
福田汽车,600166,5.6,5.3,3.5,5.5,6.5,7.4
联美控股,600167,7.1,8.5,7.5,6.3,6.7,5.9
武汉控股,600168,6.1,6.6,5.1,5.6,7.0,6.2
太原重工,600169,5.4,6.6,2.8,5.5,7.0,5.2
上海建工,600170,6.0,6.7,4.7,5.8,6.3,6.3
上海贝岭,600171,6.4,8.8,4.6,5.7,7.3,4.9
黄河旋风,600172,4.7,4.8,2.1,5.5,6.7,5.5
卧龙地产,600173,5.7,6.1,4.3,6.1,6.3,5.9
美都能源,600175,4.9,4.6,2.9,5.5,6.2,5.9
